"","Country.Region","Total_confirmed","Total_deaths","Total_Recovered","HDI_Rank_2018","Year_2018","Country_Code","Population_2018","Cases_million","Recovered_percentage","Measles_2018","Expenditure_2016","Avg_IQ_temperature"
"122","Seychelles",11,0,0,62,0.801,"SYC",96762,113.680990471466,0,4,3.9,27.6349761904762
"123","Sierra Leone",10,0,0,181,0.438,"SLE",7650154,1.30716322834808,0,20,16.5,27.5848095238095
"124","Singapore",2532,8,560,9,0.935,"SGP",5638676,449.04158352067,22.1169036334913,5,4.5,26.9878333333333
"125","Slovenia",1205,53,150,24,0.902,"SVN",2067372,582.865589743887,12.448132780083,7,8.5,2.69697619047619
"126","South Africa",2173,25,410,113,0.705,"ZAF",57779622,37.6084149529396,18.8679245283019,30,8.1,22.5445952380952
"127","Spain",166831,17209,62391,25,0.893,"ESP",46723749,3570.58248900361,37.3977258423195,3,9,8.27997619047619
"128","Sri Lanka",210,7,56,71,0.78,"LKA",21670000,9.69081679741578,26.6666666666667,1,3.9,27.0577619047619
"129","Sudan",19,2,2,168,0.508,"SDN",41801533,0.454528784865378,10.5263157894737,12,5.7,25.326119047619
"130","Suriname",10,1,4,98,0.724,"SUR",575991,17.3613823827108,40,2,6.1,26.4232619047619
"131","Sweden",10483,899,381,8,0.937,"SWE",10183175,1029.44317464838,3.63445578555757,3,10.9,-5.4867619047619
"132","Switzerland",25415,1106,12700,2,0.946,"CHE",8516543,2984.19206008823,49.9704898681881,4,12.2,0.756285714285714
"133","Tanzania",32,3,5,159,0.528,"TZA",56318348,0.568198484799306,15.625,1,4.1,23.7362857142857
"134","Thailand",2551,38,1218,77,0.765,"THA",69428524,36.7428234539452,47.7459819678557,4,3.7,25.7795714285714
"135","Togo",76,3,29,167,0.513,"TGO",7889094,9.63355234454045,38.1578947368421,15,6.6,29.1141666666667
"136","Tunisia",707,31,43,91,0.739,"TUN",11565204,61.1316497313839,6.08203677510608,4,7,13.4263571428571
"137","Turkey",56956,1198,3446,59,0.807,"TUR",82319724,691.887645298714,6.05028443008638,4,4.3,3.45688095238095
"138","Uganda",54,0,4,159,0.528,"UGA",42723139,1.26395207056298,7.40740740740741,14,6.2,24.8557142857143
"139","Ukraine",2777,83,89,88,0.75,"UKR",44622516,62.2331560147796,3.20489737126395,9,6.7,-1.38188095238095
"140","United Arab Emirates",4123,22,680,35,0.866,"ARE",9630959,428.098593296888,16.4928450157652,1,3.5,21.8380238095238
"141","United Kingdom",85206,10629,626,15,0.92,"GBR",66488991,1281.50538485386,0.734690045301974,8,9.8,5.37288095238095
"142","United Kingdom",85206,10629,626,15,0.92,"GBR",66488991,1281.50538485386,0.734690045301974,8,9.8,5.07959523809524
"143","Uruguay",480,7,231,57,0.808,"URY",3449299,139.158710219091,48.125,3,9.1,23.497
"144","US",555313,22020,32988,15,0.92,"USA",327167434,1697.33580512784,5.94043359330684,8,17.1,0.100285714285714
"145","Uzbekistan",865,4,66,108,0.71,"UZB",32955400,26.2475952347718,7.63005780346821,4,6.3,2.30147619047619
"146","Venezuela",181,9,93,96,0.726,"VEN",28870195,6.26944154689638,51.3812154696133,26,3.2,26.0002380952381
"147","Yemen",1,0,0,177,0.463,"YEM",28498687,0.0350893358701052,0,36,5.6,23.3481666666667
"148","Zambia",43,2,30,143,0.591,"ZMB",17351822,2.47812592821664,69.7674418604651,6,4.5,22.6618571428571
"149","Zimbabwe",14,3,0,150,0.563,"ZWE",14439018,0.969595023705906,0,12,9.4,23.6778571428571
